start_time,end_time,start_minute,end_minute,duration
04:05,05:11,245,311,66
04:10,04:30,250,270,20
04:17,04:57,257,297,40
04:17,04:59,257,299,42
04:33,05:15,273,315,42
04:41,05:49,281,349,68
05:29,06:12,329,372,43
05:40,06:53,340,413,73
06:02,07:17,362,437,75
06:06,06:47,366,407,41
06:13,06:41,373,401,28
06:16,07:19,376,439,63
06:22,06:53,382,413,31
06:27,07:09,387,429,42
06:31,07:26,391,446,55
06:32,07:09,392,429,37
06:52,08:14,412,494,82
07:06,07:48,426,468,42
07:07,07:44,427,464,37
07:28,08:31,448,511,63
07:36,08:42,456,522,66
07:42,08:02,462,482,20
07:45,08:54,465,534,69
07:45,08:43,465,523,58
08:02,08:35,482,515,33
08:04,08:54,484,534,50
08:21,09:04,501,544,43
08:24,09:39,504,579,75
08:24,09:46,504,586,82
08:27,08:58,507,538,31
08:30,09:16,510,556,46
08:36,09:33,516,573,57
08:58,09:45,538,585,47
08:58,09:47,538,587,49
09:03,09:51,543,591,48
09:10,10:02,550,602,52
09:10,10:19,550,619,69
09:25,10:41,565,641,76
09:56,11:13,596,673,77
09:58,11:17,598,677,79
10:27,11:34,627,694,67
10:51,11:39,651,699,48
10:54,11:58,654,718,64
11:42,12:30,702,750,48
12:21,12:57,741,777,36
12:24,13:17,744,797,53
12:30,13:14,750,794,44
12:40,14:01,760,841,81
13:12,14:35,792,875,83
13:44,14:21,824,861,37
13:48,15:06,828,906,78
13:58,15:28,838,928,90
14:24,15:43,864,943,79
15:10,16:00,910,960,50
15:24,16:16,924,976,52
15:33,16:27,933,987,54
15:35,16:56,935,1016,81
15:42,16:02,942,962,20
15:55,16:51,955,1011,56
15:58,16:35,958,995,37
16:12,17:11,972,1031,59
16:15,16:49,975,1009,34
16:42,17:26,1002,1046,44
16:50,17:32,1010,1052,42
16:56,18:01,1016,1081,65
16:57,17:28,1017,1048,31
17:00,18:04,1020,1084,64
17:01,17:58,1021,1078,57
17:02,17:57,1022,1077,55
17:05,18:18,1025,1098,73
17:22,17:57,1042,1077,35
17:24,17:50,1044,1070,26
17:29,18:41,1049,1121,72
17:35,18:09,1055,1089,34
17:58,19:07,1078,1147,69
18:01,19:20,1081,1160,79
18:08,19:33,1088,1173,85
18:08,18:51,1088,1131,43
18:09,18:29,1089,1109,20
18:18,19:21,1098,1161,63
18:18,19:04,1098,1144,46
18:26,19:05,1106,1145,39
18:31,19:06,1111,1146,35
18:35,19:39,1115,1179,64
18:40,20:10,1120,1210,90
18:49,20:04,1129,1204,75
19:05,19:32,1145,1172,27
19:19,20:00,1159,1200,41
19:20,20:41,1160,1241,81
19:34,20:18,1174,1218,44
19:43,21:13,1183,1273,90
19:56,20:46,1196,1246,50
19:57,20:17,1197,1217,20
20:16,21:26,1216,1286,70
20:31,21:42,1231,1302,71
20:40,21:24,1240,1284,44
21:21,22:06,1281,1326,45
21:41,22:03,1301,1323,22
21:45,23:15,1305,1395,90
21:56,23:04,1316,1384,68
