start_time,end_time,start_minute,end_minute,duration
05:35,06:24,335,384,49
06:03,07:09,363,429,66
06:19,07:35,379,455,76
06:27,07:14,387,434,47
06:43,07:52,403,472,69
07:00,08:13,420,493,73
07:06,08:02,426,482,56
07:06,08:25,426,505,79
07:21,08:09,441,489,48
08:07,08:48,487,528,41
08:15,09:01,495,541,46
08:17,09:23,497,563,66
08:21,09:12,501,552,51
08:29,08:49,509,529,20
08:39,09:21,519,561,42
08:41,09:25,521,565,44
08:58,10:21,538,621,83
08:58,10:28,538,628,90
09:04,09:25,544,565,21
09:15,10:28,555,628,73
09:36,10:34,576,634,58
09:49,11:00,589,660,71
11:23,12:35,683,755,72
13:25,14:27,805,867,62
13:56,14:52,836,892,56
14:55,15:30,895,930,35
15:14,16:39,914,999,85
15:46,16:27,946,987,41
16:00,16:30,960,990,30
16:10,17:11,970,1031,61
16:12,17:10,972,1030,58
16:19,17:12,979,1032,53
16:24,17:08,984,1028,44
16:38,17:33,998,1053,55
16:50,18:06,1010,1086,76
16:50,17:30,1010,1050,40
17:05,18:02,1025,1082,57
17:12,18:06,1032,1086,54
17:25,18:21,1045,1101,56
17:29,18:39,1049,1119,70
18:07,18:43,1087,1123,36
18:18,19:16,1098,1156,58
18:20,19:36,1100,1176,76
18:34,19:22,1114,1162,48
18:56,20:11,1136,1211,75
19:00,19:55,1140,1195,55
19:07,20:02,1147,1202,55
20:19,21:16,1219,1276,57
20:57,21:28,1257,1288,31
21:35,22:22,1295,1342,47
